Name,Designation,Company,LinkedIn ID,LinkedIn URL,Source,Confidence,Match Evidence,Requested Company,Requested Designation
Kim Feil,"Chief Brand Officer, Aspire Brands, Inc. (Aspire",Aspire,kim-feil,https://www.linkedin.com/in/kim-feil/,ddgs,92,"Kim Feil - Chief Brand Officer, Aspire Brands, Inc. (Aspire First Chief Marketing Officer chartered to transform the company’s growth platform from traditional weekly promotion into an integrated retail and healthcare market leader. CEO and Co-Founder of Aspire the all-in-one finance operating system for global businesses. Previously EVP and part of Lazada (exit to Alibaba Group) founding team. · Experience: Aspire ·... Dec 6, 2013 · Appointed to lead the SEA Bakery Business (>50% of SEA) with global and local brands from Oreo to Kinh Do across Vietnam, Indonesia, Philippines, Malaysia, Thailand and Singapore. CMO at Inspira · Recognised amongst ‘Most Influential Marketing Leaders’ in 2022 a",Aspire,CMO
Magic Tang,Chief Growth Officer,Atome,magic-tang-30b91583,https://www.linkedin.com/in/magic-tang-30b91583/,ddgs,92,"Magic Tang - Chief Growth Officer - Atome Chief Growth Officer - Atome · vivid personality with great passion · Experience: Advance Intelligence Group · Education: University of International Business and Economics · Location:... Business Development Manager · Experience: Atome · Location: Singapore · 182 connections on LinkedIn. View Jon Lee’s profile on LinkedIn, a professional community of 1 billion members. Chief Marketing Officer · Thought leader, brand builder and revenue catalyst repeatedly trusted to run high-stakes assignments and groundbreaking programs. As Unilever’s Chief Marketing Officer, I have the privilege of championing and elevating brands that have shaped everyday culture",Atome,CMO
Shyam Sandilya,Chief Marketing Officer,StashAway,shyam-sandilya-9ab8778,https://www.linkedin.com/in/shyam-sandilya-9ab8778/,ddgs,92,"Shyam Sandilya - Chief Marketing Officer at StashAway Chief Marketing Officer at StashAway · Education: Indian Institute of Management, Kozhikode · Location: Singapore · 500+ connections on LinkedIn. View Shyam Sandilya’s profile on... Chief Marketing Officer · Thought leader, brand builder and revenue catalyst repeatedly trusted to run high-stakes assignments and groundbreaking programs. Chief Marketing Officer, AI at Work @ Microsoft | Predicting, shaping and innovating for the future of work | Tech optimist · Jared operates at the intersection of building AI technology and ... Specialties: Innovation Project Management, Running marketing of a protfolio of brands to… · Experience: airtel ·",StashAway,CMO
Paolo Aquino,Head of Marketing,Syfe,paoloaquino5,https://www.linkedin.com/in/paoloaquino5/,ddgs,92,Paolo Aquino - Head of Marketing Head of Marketing · Experience: Syfe · Education: The Graduate School of Business Seoul National University · Location: Singapore · 500+ connections on LinkedIn. View Paolo Aquino’s...,Syfe,Head of Marketing
